,Cod. Prod,Nome,Margem,Pr. Venda
15,f274,SABOR AMI ALHO E SAL 300G (24),50,4.99
16,f276,SABOR AMI S/PIMENTA 300G (24),50,4.99
17,f1435,SAZON VERMELHO 60G P/CARNES (48),50,5.2
18,f3239,SOPA VONO BATATA C/CARNE DESFIADA 23X18G (4),50,2.99
19,f3748,SOPA VONO MANDIOQUINHA C/CEBOLA E SALSA 23X17G (4),50,2.99
20,f4115,SOPA VONO MILHO C/FRANGO 23X18G (4),50,2.99
21,f3018,AJAX FRESH LIMP PESADA BLUE 500ML,50,8.99
22,f4952,AJAX FRESH LIMP PESADA LEMON 500ML*,50,8.99
23,f353,CD COLG MPA 50G,50,2.99
24,f6806,ESC DT COLG ESSENCIAL CLEAN MC,50,4.20
25,f5101,MID REFRESCO BAUNILHA COM LIMAO 15X20G (8),50,1.20
26,f4375,MID REFRESCO LARANJA DOCE 15X20G (8),50,1.20
27,f4500,MID REFRESCO LIMAO 15X20G (8),50,1.20
28,f4502,MID REFRESCO MARACUJA 15X20G,50,1.20
29,f5157,MID REFRESCO MELANCIA 15X20G (8),50,1.20
30,f4188,PINHO SOL LIQ LAVANDA 500ML,50,6.20
31,f280,SABOR AMI C/PIMENTA 300G (24),50,4.99
32,f2035,SAZON AMARELO 60G P/LEGUMES (48),50,5.20
33,f2036,SAZON LARANJA 60G P/MASSAS (48),50,5.20
34,f4377,SAZON TOQUE DE LIMAO 60G P/AVES/PEIXES/SUINA (48),50,5.20
35,f2900,SAZON VERDE 60G P/FRANGO (48),50,5.20
0,f3510,LIMPADOR CONC.COALA CITRONELA,50,13.5
1,f1347,SACO LIXO LIMPS 100L,50,2.99
2,f85,BISC.CRACKER AGUIA SALT,50,5.20
3,f2215,GOIABADA DIVINA MESA BLOCO,50,3.5
4,f164023,NOZES S/CASCA INTEIRAS JANDIRA,50,13.99
5,f4372,SACO LIXO LIMPS 30L,50,2.5
6,f550,AROMA ARTIF.BAUNILHA CEPERA,50,4.99
7,f3193,FUMO FLOR/LEAO DO NORTE PRETO EXTRA ESP.,50,4.5
8,f3193,PALHA P/CIG.ESP.PRINCESA,50,1.99
9,f6818,SACO ALG.ALVEJADO LAVADO LIMPS 40X65CM,50,8.99
10,f5810,P.H.CLASSY DOUBLE FOLHA DUPLA NT.(16X4),50,6.99
11,f155823,P.H.CLASSY DOUBLE FOLHA DUPLA NT.LV+ PG-,50,18.99
12,f335,ESPONJA P/L ESFREBOM L12P10,50,1.5
13,f2709,VINAGRE DIVINA MESA DE ALCOOL,50,2.2
14,f5773,CERA LIQ.BRILHO FACIL AMARELA,50,11.5
15,f9013,PANETONE DIVINA MESA TRUFADO CHOC.,50,17.99
16,f2085,PANETONE DIVINA MESA CHOCOLATE,50,10.99
17,f2084,PANETONE DIVINA MESA FRUTAS,50,10.99
18,f1212211,LAMP.FOXLUX LED 9W 6500K CERTIF.BIV.,50,8.99
19,f1212212,LAMP.FOXLUX LED 12W 6500K CERTIF.BIV.,50,14.2
20,f4702,LAMP.EMPALUX HALOG.CLASSICA 100WX127V,50,6.99
21,f396541,BOLO D.BENTA CHOCOLATE,50,6.5
22,f161523,PEPINO TAUA SUAVE (HEMMER),50,9.99
