,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. 
30,f1037301,f5157,MID REFRESCO MELANCIA 15X20G (8),50.0,15.0,1.2
31,f19300,f4188,PINHO SOL LIQ LAVANDA 500ML,50.0,1.0,7.99
32,f101502,f280,SABOR AMI C/PIMENTA 300G (24),50.0,1.0,5.5
33,f102003,f2035,SAZON AMARELO 60G P/LEGUMES (48),50.0,1.0,5.99
34,f102004,f2036,SAZON LARANJA 60G P/MASSAS (48),50.0,1.0,5.99
35,f102071,f4377,SAZON TOQUE DE LIMAO 60G P/AVES/PEIXES/SUINA (48),50.0,1.0,5.5
36,f102001,f2900,SAZON VERDE 60G P/FRANGO (48),50.0,1.0,5.5
37,f2501,f5148,CD COLG TOT12 CLEAN MINT L12P10 90G,50.0,12.0,9.99
38,f05212,f036699,DAKI AMENDOIM BRANCO PCT 400G (12),50.0,1.0,6.99
39,f1037321,f4692,MID REFRESCO TANGERINA 15X20G,50.0,15.0,1.2
40,f102070,f5603,SAZON TOQUE DE ALHO 60G P/CARNES (48),50.0,1.0,5.99
41,f12760,f6531,AJAX F FLORES BOUQUET 500ML*,50.0,1.0,7.5
42,f12830,f5190,AJAX F FLORES LAVANDA 500ML*,50.0,1.0,6.99
43,f80134,f2203221,BALA DE GOMA MIX AZEDINHAS E DOCINHAS 190G,50.0,1.0,3.99
44,f13470,f2582,CD COLG MPA 90G*,50.0,1.0,5.99
45,f19410,f427,PINHO SOL LIQ ORIGINAL 500ML*,50.0,1.0,7.99
46,f102014,f2034,SAZON BRANCO 60G P/ARROZ (48),50.0,1.0,5.99
47,f102005,f617,SAZON MARROM 60G P/FEIJAO (48),50.0,1.0,5.99
48,f102006,f607,SAZON SALADA 60G (48),50.0,1.0,5.99
49,f1051081,f6148,SOPA VONO AIPIM C/COSTELA 23X18G (4),50.0,23.0,3.20
50,f03507,f72440,STE PROTEX CREAM 85G,50.0,1.0,4.2
51,f3881,f72445,STE PROTEX ERVA DOCE 85G,50.0,1.0,4.5
52,f03532,f2203222,STE PROTEX FOR MEN 3X1 85G,50.0,1.0,4.2
53,f1135021,f7700,VONO CREME DE CEBOLA 12X58G (2),50.0,12.0,5.99
54,f9225,f7196,BALA CANUDINHO MORANGO 70G,50.0,1.0,6.2
55,f9227,f7116,BALA CANUDINHO TUTTI-FRUTTI CITRICO 70G,50.0,1.0,6.2
56,f80161,f1504221,BALA CANUDINHO TWIST COLORIDO MORANGO PUXA ESTICA 24X12G,50.0,24.0,1.5
57,f8465,f6896,BALA DE GELATINA GELATINES AMORAS 80G,50.0,1.0,6.2
58,f8470,f6838,BALA DE GELATINA GELATINES COBRINHAS 80G,50.0,1.0,6.2
59,f8471,f6982,BALA DE GELATINA GELATINES COBRINHAS CITRICAS 80G,50.0,1.0,6.2
60,f8462,f6895,BALA DE GELATINA GELATINES DENTES DE VAMPIRO 80G,50.0,1.0,6.2
61,f8722,f55456,BALA DE GELATINA GELATINES DENTES DE VAMPIRO CITRICOS 80G,50.0,1.0,6.2
62,f80008,f0607212,BALA DE GELATINA GELATINES MIX DE FRUTAS NAT 70G,50.0,1.0,6.2
63,f80010,f9040,BALA DE GELATINA GELATINES URSINHOS NATURAIS 70G,50.0,1.0,6.2
64,f87341,f1504222,BALA GELATINA MINI AMORAS 12X15G,50.0,12.0,1.2
65,f87331,f6840,BALA GELATINA MINI BANANA 12X15G,50.0,12.0,1.2
66,f87351,f6869,BALA GELATINA MINI BEIJO 12X15G,50.0,12.0,1.2
67,f87321,f6841,BALA GELATINA MINI DENTES DE VAMPIRO CITRICOS 12X15G,50.0,12.0,1.2
68,f8957,f6632,MARSHMALLOW MAXMALLOWS RECH TWIST COLOR BAUN C/ MOR UNICORNIO 50G,50.0,1.0,6.2
69,f03491,f1504225,STE PROTEX AVEIA 85G,50.0,1.0,4.2
70,f03499,f2801221,STE PROTEX BALANCE 85G,50.0,1.0,4.5
71,f03504,f72206,STE PROTEX LIMP PROFUNDA 85G,50.0,1.0,4.2
72,f040170,f0106221,CAROL ERVILHA PARTIDA PCT 500G (6)*,50.0,1.0,9.5
73,f004012,f0106222,DAKI LENTILHA PCT 400G (12) *,50.0,1.0,7.99
74,f04228,f1008222,AJAX MULTIUSO CITRUS + FLORES 500ML,50.0,1.0,5.99
75,f01512,f8014,COND DARLING CERAMIDAS 350ML,50.0,1.0,10.99
76,f01480,f4646,COND DARLING TILIA 350ML,50.0,1.0,10.99
77,f01649,f1008223,ESC DT SOR ORIGINAL MACIA,50.0,1.0,4.5
78,f01478,f3657,SH DARLING 2 EM 1 350ML,50.0,1.0,8.5
79,f01465,f3656,SH DARLING CERAMIDAS 350ML,50.0,1.0,8.5
80,f01462,f3659,SH DARLING TILIA 350ML,50.0,1.0,8.5
81,f19530,f149,PINHO SOL LIQ LIMAO 500ML,50.0,1.0,7.99
82,f12770,f4439,AJAX F FLORES DO CAMPO 500ML*,50.0,1.0,6.99
83,f102017,f2183,SAZON ROXO SABOR DO NORDESTE 60G* (48),50.0,1.0,5.99
84,f102092,f72642,SAZON VERDE 40G* (48),50.0,1.0,2.99
85,f100003,f601,AJINOMOTO REFIL 100G* (36),50.0,1.0,7.99
86,f61017369,f1004234,ESC DT COLG MD ZIG ZAG CARVAO (2)*,50.0,1.0,15.2
87,f61019422,f72907,CD SOR DENT BRANCOS 90G* (12) GRTS 3 CARVAO 60G* L15P12,50.0,15.0,4.2
88,f183001,f0905231,FIO DENT COLG 50MT*,50.0,1.0,16.2
89,f183022,f1104,FIO DENT COLG MENTA 50M*,50.0,1.0,16.2
90,f100002,f1447,AJINOMOTO PET 100G* (36),50.0,1.0,11.99
